SID,Account Name,rlp_companyid,Province,Division,Total Total Agents,Total Months Live,Total Agents Logged In - All Time,Avg Agent Login % - All Time,Total Agents Logged in Last  30 Days,Avg Agent Login KPI %,Total Agents Ever Importing Contacts,Avg Agent Imported KPI %,Total Agents Sending 30+ Comms,Avg Agent Engagement KPI %,Total Agents Adding 10+ New Contacts,Avg New Contacts KPI %,Agents Starting ASP,% Agents Starting Success Plan,Agents Completing ASP,% Agents Completing Success Plan,Total Cases Created Last 30 Days,Total Cases Closed Last 30 Days,Total 1st Resp Time (Mins) Last 30 Days,Total 4/5 Star % Last 30 Days,Avg Handle Time (Mins) Last 30 Days,Total Total Contacts Added,Total Contacts with Search Alerts,Total Contacts with Market Reports,Total Emails Sent All Time,Total Texts Sent All Time,Total Calls Made All Time,Total Communications Sent,Communications Sent / Agent / Month,Total Property Views All Time,Total Leads From Websites All Time,Total Leads From Websites - Last 30 Days,Total Agent Logins 2023,Total Agent Login % - All Time 2023,Total Contacts on Campaigns NEW,Total Contacts Added - CRM
SID-18898,Royal LePage Drummondville,10044,QC,D1,3,40,3,1,0,0,0,0,0,0,0,0,,,,,,,,,,2187,22,6,399,39,13,451,3.76,104,7,0,1,0.33,68,2183
SID-18932,Royal LePage Trident Real Estate,9982,ON,D1,3,40,3,1,2,0.67,0,0,0,0,0,0,,,,,,,,,,172,0,0,63,0,9,72,0.6,0,0,0,3,1,3,172
SID-48954,Royal LePage Modern Realty,10155,AB,D1,3,19,2,0.67,2,0.67,0,0,0,0,0,0,3,100.00%,0,0.00%,,,,,,124,2,0,381,150,2,533,9.35,18,3,2,2,0.67,102,124
SID-18780,Royal LePage Jacinthe Dube,454,QC,D1,2,40,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,163,1,0,32,3,13,48,0.6,4,6,0,0,0,2,163
SID-18786,Royal LePage Mighty Peace Realty,459,AB,D1,2,40,2,1,0,0,0,0,0,0,0,0,2,100.00%,0,0.00%,,,,,,391,0,0,596,39,24,659,8.24,0,0,0,0,0,18,386
SID-18846,Royal LePage Mackenzie Realty,679,BC,D1,2,40,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,308,4,0,20,0,15,35,0.44,12,4,0,0,0,0,308
SID-18872,Royal LePage Selkirk Realty,4577,BC,D1,2,40,1,0.5,1,0.5,0,0,0,0,0,0,,,,,,,,,,989,1,0,55,0,5,60,0.75,6,2,0,1,0.5,1,989
SID-18901,Royal LePage Exceptional Real Estate Services,10024,ON,D1,2,40,1,0.5,0,0,0,0,0,0,0,0,,,,,,,,,,235,2,3,319,3,6,328,4.1,104,6,0,0,0,3,235
SID-18905,Royal LePage Icon Realty,10076,SK,D1,2,40,2,1,2,1,0,0,0,0,0,0,1,50.00%,0,0.00%,,,,,,2853,14,0,2119,0,114,2233,27.91,92,3,0,2,1,3,2853
SID-18937,Royal LePage Preferred Real Estate,10042,AB,D1,2,40,2,1,0,0,0,0,0,0,0,0,1,50.00%,0,0.00%,,,,,,514,200,10,23657,211,39,23907,298.84,2665,34,0,1,0.5,101,513
SID-18742,Royal LePage CoteDeGaspe,31,QC,D1,1,40,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,1229,0,0,0,0,38,38,0.95,0,0,0,1,1,0,1229
SID-18769,Royal LePage 100 Mile Realty,146,BC,D1,1,40,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,1992,0,0,272,0,17,289,7.23,0,4,0,0,0,3,1992
SID-18817,Royal LePage Atlantic  NS,798,NB,D1,1,40,0,0,0,0,0,0,0,0,0,0,,,,,0,0,,,,3948,4,131,5599,215,141,5955,148.88,676,2,0,0,0,6,3948
SID-18818,Royal LePage Redwillo Realty,844,AB,D1,1,40,1,1,1,1,0,0,0,0,0,0,,,,,,,,,,332,0,0,240,118,1,359,8.98,0,0,0,1,1,44,324
SID-18832,Royal LePage MultiServices,4493,QC,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SID-18900,Royal LePage Integrity,10015,AB,D1,1,40,1,1,0,0,0,0,0,0,0,0,1,100.00%,0,0.00%,0,0,,,,754,1,0,86,3,22,111,2.78,9,3,0,0,0,0,740
SID-18924,Royal LePage Grange Hall Realty,10034,ON,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,119,8,0,1228,0,9,1237,30.93,18,9,0,0,0,14,119
SID-18930,Royal LePage Optimum,10039,QC,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,19,3,0,35,1,0,36,0.9,15,5,0,0,0,0,19
SID-18933,Royal LePage Cite,10052,QC,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,2,2,0,21,2,0,23,0.58,22,2,0,1,1,0,2
SID-18946,Royal LePage Trinity Realty,10022,ON,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,0,0,,,,1666,4,18,272,9,79,360,9,28,0,0,0,0,11,1661
SID-18950,Royal LePage Escarpment Realty,10035,ON,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,179,1,2,153,7,6,166,4.15,0,0,0,1,1,7,179
