SID,Account Name,rlp_companyid,Province,Division,Total Total Agents,Total Months Live,Total Agents Logged In - All Time,Avg Agent Login % - All Time,Total Agents Logged in Last  30 Days,Avg Agent Login KPI %,Total Agents Ever Importing Contacts,Avg Agent Imported KPI %,Total Agents Sending 30+ Comms,Avg Agent Engagement KPI %,Total Agents Adding 10+ New Contacts,Avg New Contacts KPI %,Agents Starting ASP,% Agents Starting Success Plan,Agents Completing ASP,% Agents Completing Success Plan,Total Cases Created Last 30 Days,Total Cases Closed Last 30 Days,Total 1st Resp Time (Mins) Last 30 Days,Total 4/5 Star % Last 30 Days,Avg Handle Time (Mins) Last 30 Days,Total Total Contacts Added,Total Contacts with Search Alerts,Total Contacts with Market Reports,Total Emails Sent All Time,Total Texts Sent All Time,Total Calls Made All Time,Total Communications Sent,Communications Sent / Agent / Month,Total Property Views All Time,Total Leads From Websites All Time,Total Leads From Websites - Last 30 Days,Total Agent Logins 2023,Total Agent Login % - All Time 2023,Total Contacts on Campaigns NEW,Total Contacts Added - CRM
SID-18955,Royal LePage Vidorra,10058,SK,D1,1,40,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,2002,0,0,676,11,42,729,18.23,0,8,0,1,1,11,2001
SID-18979,Royal LePage Partners Realty,94,ON,D1,1,40,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,530,16,16,3401,7,54,3462,86.55,107,3,0,0,0,12,523
SID-18995,Royal LePage Signature,10079,SK,D1,1,40,1,1,1,1,0,0,0,0,0,0,1,100.00%,0,0.00%,,,,,,848,203,4,1162,47,7,1216,30.4,1733,301,3,1,1,7,848
SID-34986,Royal LePage Active Lifestyles,10150,ON,D1,1,31,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,942,35,1,6157,802,48,7007,226.03,204,10,0,0,0,150,774
SID-62219," ROYAL LEPAGE IGNITE REALTY, BROKERAGE ",10082,ON,D1,1,9,1,1,1,1,1,1,1,1,0,0,1,100.00%,0,0.00%,,,,,,1460,72,16,9610,264,17,9891,1099,2548,57,0,1,1,61,1460
SID-18771,Royal LePage Rocky Mountain Realty,118,AB,D1,0,40,0,,0,,0,,0,,0,,,,,,0,0,,,,7020,5,18,115,12,3,130,,45,548,0,0,,3,6883
SID-18790,Royal LePage G. Bruce Macdonald Real Estate,83,ON,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,96,0,0,269,0,3,272,,0,0,0,0,,3,96
SID-18794,Royal LePage Carlton,424,SK,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,2,0,0,0,0,0,0,,1,2,0,0,,0,2
SID-18796,Royal LePage Allstar,501,AB,D1,0,40,0,,0,,0,,0,,0,,,,,,0,0,,,,1612,11,9,446,4,9,459,,44,10,0,0,,8,1611
SID-18808,Royal LePage Brennan Realty,192,NS,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,328,0,0,389,0,1,390,,0,0,0,0,,16,328
SID-18830,Royal LePage Bay Chaleur Real Estate,6203,NB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,503,59,0,13,0,36,49,,249,81,0,0,,2,503
SID-18835,Royal LePage ONeil Realty,9994,ON,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,84,0,0,85,0,8,93,,0,0,0,0,,0,84
SID-18853,Royal LePage Alliance,9983,MB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,121,0,0,251,0,1,252,,0,1,0,0,,0,121
SID-18860,Royal LePage Miramichi River Realty,9979,NB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,564,2,0,1097,226,25,1348,,17,0,0,0,,56,540
SID-18875,Royal LePage Pro2000,6045,QC,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,193,0,0,0,0,2,2,,0,1,0,0,,0,193
SID-18884,Royal LePage Cascade Realty,10027,BC,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,803,0,0,2,0,0,2,,14,11,1,0,,2,803
SID-18895,Royal LePage Pro,10078,QC,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,14,0,0,0,0,2,2,,0,0,0,0,,0,14
SID-18913,Royal LePage Summum,7197,QC,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,226,0,0,0,0,0,0,,0,0,0,0,,1,226
SID-18919,Royal LePage Homewise Realty,10023,AB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,653,3,0,277,0,21,298,,112,5,0,0,,4,653
SID-18931,Royal LePage Aztec Real Estate,10086,AB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,806,1,0,0,0,1,1,,2,1,0,0,,0,806
SID-18938,Royal LePage AvantGarde,9996,QC,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,145,2,0,126,61,5,192,,5,1,0,0,,16,145
SID-18954,Royal LePage United Realty,10074,ON,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,66,0,0,28,0,4,32,,0,0,0,0,,0,66
SID-18968,Royal LePage Professionals 2000,196,NL,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,0
SID-18985,Royal LePage Zadderey Agencies,139,AB,D1,0,40,0,,0,,0,,0,,0,,,,,,,,,,,44,0,0,118,0,4,122,,0,0,0,0,,1,44
